"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"65",66,73,2.63085253777805,2.00348423671014,0.229234424083082,0.356263878408498,1.16660147682239,2.20993090306504,3.57725662909653,6.52985380198067,7.52865231200885
"66",67,74,2.62378437230704,2.01520626488844,0.235784159310249,0.362512853163996,1.12181732425255,2.11659402487648,3.6160478820819,6.60801208323702,7.60255106659296
"67",68,75,2.67981215990153,2.03533913199162,0.266997444197374,0.425991834768732,1.20589089682523,2.15849733186465,3.66715173696565,6.5952611038443,8.00688983193153
"68",69,76,2.60050708308278,2.00255667773864,0.234173212505092,0.356846042827367,1.13932596575157,2.09350052799403,3.55770828688548,6.47846622375695,7.7857524842522
"69",70,77,2.61130957921822,1.9845580862165,0.237655088926084,0.355684616631734,1.17110248421328,2.11352574532507,3.50785359891517,6.55249790379986,7.65863346046348
"70",71,78,2.59034564109191,2.02790109490926,0.24022046112464,0.377304149195232,1.09854949776113,2.10035081977186,3.4470362278491,6.61831424508119,7.90050333095286
"71",72,79,2.64561132745993,2.01239454870792,0.260058920332169,0.379865308140222,1.14822507451901,2.16464005404583,3.63924390760865,6.49325163951118,7.64170670851653
"72",73,80,2.58069098522642,1.98360163301182,0.264348754455165,0.358156287405023,1.12012629910777,2.05602424647638,3.47987548965432,6.31308563411373,7.63615442171866
"73",74,81,2.5639780972016,1.96346519756143,0.253323925533981,0.37026119825034,1.09315967397027,2.06314112059967,3.52101781456346,6.54314466412072,7.58216315850027
"74",75,82,2.66949838799482,2.13179083873676,0.248745971351006,0.368475324785103,1.15080846112208,2.09247943743564,3.64703360198992,6.72889924010557,8.18602543930817
"75",76,83,2.56891927232137,2.01753832209876,0.232477886997288,0.337545969490442,1.09453428549221,2.03796420829463,3.52493328267038,6.54856372298123,7.66743874603547
"76",77,84,2.65099812131412,2.04510281231847,0.249486701560581,0.381032063491498,1.13316143014863,2.18506485245406,3.58191897350255,6.66074066588416,8.11264979268034
"77",78,85,2.58877499389435,1.98698036112603,0.218829149693788,0.365969066964681,1.14742790266657,2.10692540675778,3.47288640697408,6.55685630759248,7.67182365947417
"78",79,86,2.69849104270423,2.17177492803642,0.247969831465352,0.369161494842695,1.13969718008575,2.08504576655973,3.6547349174472,7.08943589796683,8.55115100056831
